program_administrator,fuel_type_funding_source,portfolio,primary_end_use_sector,program_name,nys_clean_heat,new_efficiency_new_york,lmi_market_rate,active_inactive,year,reporting_period,expenditures,reductions,participants
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2018,2018 Q1,478939.88,749.82,1
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2018,2018 Q2,205199.4,578.92,1
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2018,2018 Q3,729534.78,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2018,2018 Q4,701793.94,61940.01,31
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2019,2019 Q1,706023.66,58363.62,18
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2019,2019 Q2,705797.46,27764.53,19
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2019,2019 Q3,653752.25,74540.71,30
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2019,2019 Q4,534123.14,77151.25,31
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2020,2020 Q1,972881.09,51233.62,22
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2020,2020 Q2,641627.22,59215.77,26
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2020,2020 Q3,352346.52,37364.85,13
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2020,2020 Q4,835896.8,120246.31,240
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2021,2021 Q1,530710.93,128636.63,12
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2021,2021 Q2,401486.98,90449.96,9
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2021,2021 Q3,305853.96,59942.18,5
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2021,2021 Q4,737.12,93391.51,210
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2022,2022 Q1,232455.9,46479.09,1
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2022,2022 Q2,228024.02,34227.59,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2022,2022 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2022,2022 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2023,2023 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2023,2023 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2023,2023 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2023,2023 Q4,0,0,0
